iter	Passed	Remaining
0	63	63465
1	75	37720
2	82	27531
3	88	22160
4	102	20313
5	130	21559
6	146	20772
7	171	21309
8	195	21482
9	212	20994
10	233	20992
11	252	20790
12	260	19781
13	265	18733
14	282	18522
15	301	18524
16	305	17677
17	309	16907
18	314	16220
19	322	15803
20	326	15242
21	330	14705
22	334	14218
23	340	13843
24	345	13480
25	350	13143
26	355	12826
27	361	12559
28	366	12277
29	370	11984
30	376	11768
31	383	11592
32	390	11434
33	394	11205
34	398	10991
35	402	10776
36	406	10586
37	411	10407
38	415	10237
39	419	10071
40	423	9912
41	428	9764
42	432	9624
43	436	9485
44	440	9351
45	445	9229
46	449	9109
47	456	9052
48	460	8940
49	464	8829
50	468	8724
51	472	8622
52	481	8604
53	486	8529
54	491	8437
55	495	8347
56	499	8261
57	503	8176
58	507	8095
59	511	8016
60	516	7945
61	520	7872
62	524	7801
63	530	7765
64	543	7820
65	556	7880
66	570	7938
67	588	8072
68	602	8134
69	611	8122
70	626	8200
71	630	8130
72	635	8070
73	642	8038
74	647	7990
75	652	7927
76	656	7870
77	660	7809
78	664	7749
79	669	7694
80	673	7641
81	677	7586
82	681	7530
83	688	7509
84	693	7463
85	697	7411
86	702	7368
87	706	7319
88	710	7272
89	715	7237
90	723	7224
91	729	7197
92	735	7176
93	740	7135
94	746	7108
95	752	7088
96	760	7078
97	765	7043
98	769	7005
99	774	6966
100	779	6941
101	784	6904
102	789	6879
103	797	6867
104	807	6885
105	815	6873
106	820	6847
107	824	6812
108	833	6810
109	840	6802
110	847	6783
111	856	6793
112	861	6764
113	866	6731
114	870	6700
115	874	6665
116	879	6633
117	884	6613
118	889	6583
119	893	6555
120	898	6526
121	902	6498
122	907	6471
123	911	6440
124	915	6410
125	919	6380
126	923	6351
127	928	6326
128	938	6334
129	945	6326
130	953	6325
131	958	6304
132	963	6277
133	967	6255
134	972	6232
135	976	6206
136	981	6185
137	986	6161
138	991	6141
139	996	6120
140	1001	6099
141	1007	6086
142	1018	6100
143	1023	6083
144	1027	6060
145	1032	6038
146	1037	6021
147	1041	5997
148	1046	5974
149	1050	5951
150	1054	5928
151	1058	5905
152	1063	5888
153	1068	5867
154	1072	5845
155	1077	5827
156	1081	5807
157	1085	5785
158	1089	5764
159	1094	5747
160	1102	5746
161	1109	5736
162	1116	5732
163	1120	5713
164	1125	5696
165	1130	5677
166	1134	5659
167	1143	5664
168	1148	5649
169	1158	5655
170	1164	5646
171	1169	5628
172	1173	5610
173	1177	5592
174	1181	5571
175	1187	5557
176	1191	5539
177	1195	5522
178	1200	5504
179	1204	5486
180	1209	5471
181	1213	5455
182	1218	5438
183	1223	5426
184	1228	5409
185	1232	5394
186	1236	5377
187	1241	5361
188	1245	5345
189	1249	5327
190	1256	5320
191	1262	5311
192	1266	5295
193	1271	5282
194	1277	5272
195	1281	5257
196	1285	5241
197	1290	5225
198	1294	5210
199	1299	5196
200	1303	5181
201	1308	5168
202	1312	5153
203	1316	5137
204	1321	5124
205	1325	5110
206	1334	5113
207	1339	5099
208	1345	5093
209	1354	5096
210	1360	5085
211	1365	5076
212	1370	5062
213	1374	5049
214	1379	5035
215	1383	5021
216	1388	5008
217	1392	4994
218	1397	4983
219	1401	4970
220	1406	4956
221	1410	4942
222	1414	4929
223	1418	4915
224	1423	4903
225	1427	4889
226	1432	4876
227	1436	4863
228	1442	4857
229	1451	4861
230	1457	4851
231	1461	4838
232	1466	4826
233	1470	4813
234	1474	4800
235	1478	4787
236	1483	4774
237	1487	4762
238	1491	4748
239	1495	4736
240	1499	4723
241	1504	4710
242	1508	4698
243	1512	4687
244	1517	4677
245	1522	4666
246	1526	4653
247	1530	4641
248	1534	4629
249	1539	4617
250	1543	4607
251	1550	4602
252	1554	4591
253	1559	4581
254	1563	4569
255	1568	4558
256	1572	4546
257	1577	4537
258	1582	4526
259	1587	4517
260	1591	4506
261	1596	4495
262	1600	4484
263	1605	4475
264	1609	4464
265	1613	4453
266	1618	4444
267	1623	4433
268	1627	4422
269	1631	4412
270	1637	4404
271	1646	4406
272	1652	4399
273	1657	4393
274	1661	4381
275	1666	4371
276	1674	4370
277	1679	4360
278	1684	4352
279	1689	4344
280	1693	4333
281	1700	4328
282	1706	4324
283	1713	4320
284	1718	4312
285	1723	4303
286	1729	4295
287	1734	4287
288	1739	4279
289	1743	4269
290	1749	4262
291	1760	4269
292	1766	4262
293	1770	4251
294	1775	4242
295	1780	4235
296	1786	4229
297	1791	4219
298	1797	4213
299	1806	4215
300	1812	4208
301	1816	4198
302	1820	4188
303	1825	4178
304	1829	4168
305	1833	4159
306	1838	4149
307	1842	4140
308	1847	4131
309	1852	4123
310	1857	4114
311	1861	4105
312	1865	4095
313	1870	4086
314	1874	4077
315	1879	4067
316	1883	4058
317	1888	4049
318	1892	4040
319	1896	4030
320	1906	4031
321	1910	4023
322	1914	4013
323	1919	4004
324	1923	3995
325	1928	3986
326	1932	3977
327	1936	3968
328	1941	3959
329	1945	3949
330	1949	3940
331	1953	3931
332	1959	3924
333	1963	3914
334	1967	3906
335	1971	3896
336	1975	3887
337	1980	3878
338	1984	3869
339	1989	3861
340	1993	3853
341	2001	3851
342	2005	3841
343	2010	3833
344	2014	3824
345	2018	3815
346	2022	3806
347	2027	3798
348	2031	3789
349	2035	3780
350	2039	3771
351	2043	3762
352	2047	3752
353	2051	3744
354	2055	3735
355	2059	3726
356	2064	3717
357	2068	3709
358	2072	3700
359	2076	3692
360	2080	3683
361	2085	3676
362	2090	3668
363	2097	3665
364	2102	3657
365	2106	3649
366	2110	3640
367	2115	3632
368	2119	3624
369	2123	3616
370	2127	3607
371	2132	3599
372	2136	3591
373	2140	3583
374	2144	3574
375	2149	3567
376	2153	3558
377	2159	3553
378	2163	3544
379	2167	3536
380	2171	3528
381	2176	3520
